what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1325090613629
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1325090613630
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1325090613630
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1325090613631
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1325090613632
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1325090613632
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1325090613632
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1325090613633
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1325090613633
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1325090613634
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1325090613634
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1325090613635
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1325090613635
os,sysinfo,,,"win32",1325090613638
arch,sysinfo,,,"x86_64",1325090613638
ws,sysinfo,,,"win32",1325090613638
locale,sysinfo,,,"de_DE",1325090613638
processors,sysinfo,,,"4",1325090613638
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325090613638
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1325090613638
java.specification.name,sysinfo,,,"Java Platform API Specification",1325090613638
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325090613638
java.specification.version,sysinfo,,,"1.6",1325090613638
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1325090613638
java.version,sysinfo,,,"1.6.0_24",1325090613638
java.vm.info,sysinfo,,,"mixed mode",1325090613638
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1325090613638
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325090613638
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325090613638
java.vm.specification.version,sysinfo,,,"1.0",1325090613638
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1325090613638
java.vm.version,sysinfo,,,"19.1-b02",1325090613638
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1325090619845
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1325090619867
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1325090619890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325090630227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325090642984
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325090643066
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1325090643186
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1325090643252
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1325090643258
stopped,bundle,org.eclipse.core.boot,3.1.200.v20100505,"org.eclipse.core.boot",1325090643367
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1325090643367
stopped,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1325090643368
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1325090643369
stopped,bundle,org.eclipse.pde.ds.core,1.0.100.v20100601,"org.eclipse.pde.ds.core",1325090643370
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1325090643371
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1325090643372
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1325090643374
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1325090643374
stopped,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1325090643374
stopped,bundle,org.eclipse.pde.ua.core,1.0.100.v20110516,"org.eclipse.pde.ua.core",1325090643375
stopped,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1325090643376
stopped,bundle,org.eclipse.pde.build,3.7.0.v20110512-1320,"org.eclipse.pde.build",1325090643377
stopped,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1325090643378
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1325090643379
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1325090643379
stopped,bundle,org.eclipse.ui.presentations.r21,3.2.200.I20100517-1500,"org.eclipse.ui.presentations.r21",1325090643380
stopped,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1325090643380
stopped,bundle,org.eclipse.update.ui,3.2.300.v20100512,"org.eclipse.update.ui",1325090643381
stopped,bundle,org.eclipse.wst.common.modulecore.ui,1.0.4.v201101101700,"org.eclipse.wst.common.modulecore.ui",1325090643382
stopped,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1325090643383
stopped,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1325090643383
stopped,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1325090643384
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1325090643384
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1325090643407
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1325090643407
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1325090643430
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1325090643430
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1325090643439
stopped,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1325090643454
